fecha_consulta,origen,destino,region,fecha_vuelo,precio_min
2026-09-10 00:25:17.441172,BUE,LON,Europa,2027-01-08,1294
2026-09-10 00:25:21.667295,BUE,AMS,Europa,2026-10-10,575
2026-09-10 00:25:24.578089,BUE,AMS,Europa,2026-11-09,478
2026-09-10 00:25:31.821275,BUE,AMS,Europa,2027-01-08,1770
2026-09-10 00:25:34.834008,BUE,FRA,Europa,2026-10-10,931
2026-09-10 00:25:38.161473,BUE,FRA,Europa,2026-11-09,724
2026-09-10 00:25:42.745117,BUE,FRA,Europa,2026-12-09,796
2026-09-10 00:25:47.277379,BUE,FRA,Europa,2027-01-08,1534
2026-09-10 00:25:51.089670,BUE,IST,Europa,2026-10-10,1188
2026-09-10 00:25:53.966618,BUE,IST,Europa,2026-11-09,512
2026-09-10 00:25:56.618134,BUE,IST,Europa,2026-12-09,880
2026-09-10 00:26:02.764309,BUE,ATH,Europa,2026-10-10,639
2026-09-10 00:26:06.376422,BUE,ATH,Europa,2026-11-09,484
2026-09-10 00:26:10.394697,BUE,ATH,Europa,2026-12-09,660
2026-09-10 00:26:14.400059,BUE,ATH,Europa,2027-01-08,1655
2026-09-10 00:26:18.299289,BUE,DXB,Asia,2026-10-10,1127
2026-09-10 00:26:21.137938,BUE,DXB,Asia,2026-11-09,1322
2026-09-10 00:26:24.113226,BUE,DXB,Asia,2026-12-09,1080
2026-09-10 00:26:27.123997,BUE,DXB,Asia,2027-01-08,1359
2026-09-10 00:26:30.542372,BUE,TLV,Asia,2026-10-10,957
2026-09-10 00:26:34.485601,BUE,TLV,Asia,2026-11-09,1065
2026-09-10 00:26:37.608007,BUE,TLV,Asia,2026-12-09,1071
2026-09-10 00:26:42.075493,BUE,TLV,Asia,2027-01-08,1397
2026-09-10 00:26:46.189628,BUE,DEL,Asia,2026-10-10,1271
2026-09-10 00:26:49.732585,BUE,DEL,Asia,2026-11-09,1667
2026-09-10 00:26:54.171395,BUE,DEL,Asia,2026-12-09,1581
2026-09-10 00:26:57.065096,BUE,DEL,Asia,2027-01-08,1656
2026-09-10 00:26:59.920282,BUE,BKK,Asia,2026-10-10,1189
2026-09-10 00:27:04.649686,BUE,BKK,Asia,2026-11-09,1806
2026-09-10 00:27:09.888236,BUE,BKK,Asia,2026-12-09,1368
2026-09-10 00:27:12.805402,BUE,BKK,Asia,2027-01-08,2022
2026-09-10 00:27:16.660814,BUE,SIN,Asia,2026-10-10,1267
2026-09-10 00:27:19.438507,BUE,SIN,Asia,2026-11-09,1729
2026-09-10 00:27:23.373696,BUE,SIN,Asia,2026-12-09,1498
2026-09-10 00:27:26.487844,BUE,SIN,Asia,2027-01-08,1775
2026-09-10 00:27:30.986176,BUE,HKG,Asia,2026-10-10,1178
2026-09-10 00:27:34.821694,BUE,HKG,Asia,2026-11-09,1698
2026-09-10 00:27:38.806013,BUE,HKG,Asia,2026-12-09,1748
2026-09-10 00:27:42.594522,BUE,HKG,Asia,2027-01-08,1532
2026-09-10 00:27:48.121761,BUE,TYO,Asia,2026-10-10,1791
2026-09-10 00:27:54.226797,BUE,TYO,Asia,2026-11-09,1758
2026-09-10 00:27:59.317360,BUE,TYO,Asia,2026-12-09,1391
2026-09-10 00:28:03.015728,BUE,TYO,Asia,2027-01-08,1585
2026-09-10 00:28:06.311762,BUE,SEL,Asia,2026-10-10,1232
2026-09-10 00:28:11.077341,BUE,SEL,Asia,2026-11-09,1275
2026-09-10 00:28:15.374140,BUE,SEL,Asia,2026-12-09,1356
2026-09-10 00:28:18.770691,BUE,SEL,Asia,2027-01-08,1323
2026-09-10 00:28:23.911090,NYC,BUE,América,2026-10-10,428
2026-09-10 00:28:31.897058,NYC,BUE,América,2026-12-09,428
2026-09-10 00:28:34.903982,NYC,BUE,América,2027-01-08,522
2026-09-10 00:28:38.341114,NYC,MIA,América,2026-10-10,101
2026-09-10 00:28:44.180207,NYC,MIA,América,2026-11-09,120
2026-09-10 00:28:49.306024,NYC,MIA,América,2026-12-09,131
